		"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"TFSC","1347 Capital Corp.","9.8","$58.29M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfsc",
"TFSCR","1347 Capital Corp.","0.32","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscr",
"TFSCU","1347 Capital Corp.","10.4","$43.47M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscu",
"TFSCW","1347 Capital Corp.","0.34","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/tfscw",
"PIH","1347 Property Insurance Holdings, Inc.","7.26","$45.49M","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih",
"FLWS","1-800 FLOWERS.COM, Inc.","9.8","$636.32M","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"FCTY","1st Century Bancshares, Inc","7.5","$77.41M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty",
"FCCY","1st Constitution Bancorp (NJ)","11.55","$87.17M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","30.12","$954.84M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","18.46","$1.6B","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","32.055","$1.33B","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou",
"DGLD","3X Inverse Gold ETN Velocityshares","79.06","$10.75M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/dgld",
"DSLV","3X Inverse Silver ETN Velocityshares","57.79","$32.76M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/dslv",
"UGLD","3X Long Gold ETN Velocityshares","9.29","$9.16M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ugld",
"USLV","3X Long Silver ETN Velocityshares","13.85","$27.18M","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/uslv",
"JOBS","51job, Inc.","28.41","$1.69B","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"SIXD","6D Global Technologies, Inc.","2.9","$226.92M","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/sixd",
"CAFD","8point3 Energy Partners LP","11.68","$829.31M","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd",
"EGHT","8x8 Inc","8.31","$736.25M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","13.32","$297.56M","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","33.9","$992.94M","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AAON","AAON, Inc.","19.57","$1.06B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"ABAX","ABAXIS, Inc.","45.18","$1.03B","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"ABY","Abengoa Yield plc","18.06","$1.81B","2014","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aby",
"ABGB","Abengoa, S.A.","4.77","$801.14M","2013","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/abgb",
"ABEO","Abeona Therapeutics Inc.","4.31","$140.9M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","1.466","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeow",
"ABMD","ABIOMED, Inc.","90.3","$3.8B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","1.36","$144.41M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"ACTG","Acacia Research Corporation","8.86","$449.56M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","65.34","$4.68B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","35.12","$3.54B","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad",
"ACST","Acasti Pharma, Inc.","0.282","$30.07M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","17.28","$772.81M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","24.67","$815.57M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xlrn",
"ANCX","Access National Corporation","20.03","$210.7M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ARAY","Accuray Incorporated","5.29","$421.85M","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray",
"VXDN","AccuShares Spot CBOE VIX Down Shares","7.1143","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vxdn",
"VXUP","AccuShares Spot CBOE VIX Up Shares","5.9","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/vxup",
"ACRX","AcelRx Pharmaceuticals, Inc.","3.37","$149.54M","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx",
"ACET","Aceto Corporation","28.05","$823.44M","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/acet",
"AKAO","Achaogen, Inc.","6.15","$111.41M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akao",
"ACHN","Achillion Pharmaceuticals, Inc.","7.2","$982M","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","21.1","$2.49B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
"ACNB","ACNB Corporation","21.75","$131.15M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","28.05","$1.2B","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/acor",
"ACTS","Actions Semiconductor Co., Ltd.","1.75","$102.32M","2005","Technology","Semiconductors","http://www.nasdaq.com/symbol/acts",
"ACPW","Active Power, Inc.","1.55","$35.82M","2000","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/acpw",
"ATVI","Activision Blizzard, Inc","31.46","$22.93B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi",
"ACTA","Actua Corporation","11.5","$469.42M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acta",
"ACUR","Acura Pharmaceuticals, Inc.","2.4099","$5.69M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acur",
"ACXM","Acxiom Corporation","19.98","$1.56B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm",
"ADMS","Adamas Pharmaceuticals, Inc.","16.66","$306.61M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","4.01","$53.86M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/admp",
"ADAP","Adaptimmune Therapeutics plc","9.31","$659.01M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adap",
"ADUS","Addus HomeCare Corporation","30.43","$338.03M","2009","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","2.24","$22.56M","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/aey",
"ADEP","Adept Technology, Inc.","12.97","$189.36M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/adep",
"ADMA","ADMA Biologics Inc","8.5","$91M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adma",
"ADBE","Adobe Systems Incorporated","83.99","$41.89B","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe",
"ADTN","ADTRAN, Inc.","14.65","$731.45M","1994","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/adtn",
"ADRO","Aduro Biotech, Inc.","19.27","$1.2B","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adro",
"AEIS","Advanced Energy Industries, Inc.","26.74","$1.1B","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeis",
"AMD","Advanced Micro Devices, Inc.","1.83","$1.43B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/amd",
"ADXS","Advaxis, Inc.","10.93","$364.69M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxs",
"ADXSW","Advaxis, Inc.","7.4","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adxsw",
"MULT","AdvisorShares Sunrise Global Multi-Strategy ETF","22.61","$2.26M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mult",
"YPRO","AdvisorShares YieldPro ETF","23.11","$32.93M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ypro",
"AEGR","Aegerion Pharmaceuticals, Inc.","13.56","$388.1M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aegr",
"AEGN","Aegion Corp","16.76","$607.35M","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/aegn",
"AEHR","Aehr Test Systems","2.35","$30.52M","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aehr",
"AMTX","Aemetis, Inc","2.58","$50.24M","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amtx",
"AEPI","AEP Industries Inc.","58.8","$300.04M","1986","Capital Goods","Specialty Chemicals","http://www.nasdaq.com/symbol/aepi",
"AERI","Aerie Pharmaceuticals, Inc.","19.35","$497.14M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aeri",
"AVAV","AeroVironment, Inc.","20.68","$486.79M","2007","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/avav",
"AEZS","AEterna Zentaris Inc.","0.0905","$28.82M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aezs",
"AEMD","Aethlon Medical, Inc.","6.93","$52.74M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/aemd",
"AFMD","Affimed N.V.","7.1","$211.11M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/afmd",
"AFFX","Affymetrix, Inc.","8.67","$692.04M","1996","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/affx",
"AGEN","Agenus Inc.","4.82","$406.36M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agen",
"AGRX","Agile Therapeutics, Inc.","7.19","$160.13M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agrx",
"AGYS","Agilysys, Inc.","10.94","$250.77M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/agys",
"AGIO","Agios Pharmaceuticals, Inc.","76.09","$2.85B","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/agio",
"AGFS","AgroFresh Solutions, Inc.","8.37","$418M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","2.11","n/a","2014","Finance","Business Services","http://www.nasdaq.com/symbol/agfsw",
"AIMT","Aimmune Therapeutics, Inc.","21.16","$892.52M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aimt",
"AIRM","Air Methods Corporation","35.11","$1.38B","n/a","Transportation","Transportation Services","http://www.nasdaq.com/symbol/airm",
"AIRT","Air T, Inc.","16.6","$39.38M","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","8.71","$564.93M","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/atsg",
"AMCN","AirMedia Group Inc","5.42","$325.04M","2007","Technology","Advertising","http://www.nasdaq.com/symbol/amcn",
"AIXG","Aixtron SE","6.06","$682.97M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aixg",
"AKAM","Akamai Technologies, Inc.","70.23","$12.54B","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/akam",
"AKTX","Akari Therapeutics Plc","19.25","$10.71M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aktx",
"AKBA","Akebia Therapeutics, Inc.","9.82","$283.63M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akba",
"AKER","Akers Biosciences Inc","3.73","$19.19M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/aker",
"AKRX","Akorn, Inc.","29.84","$3.41B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akrx",
"ALRM","Alarm.com Holdings, Inc.","12.04","$548.63M","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/alrm",
"ALSK","Alaska Communications Systems Group, Inc.","2.22","$111.89M","1999","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/alsk",
"AMRI","Albany Molecular Research, Inc.","17.8","$631.06M","1999","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/amri",
"ABDC","Alcentra Capital Corp.","11.42","$154.36M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abdc",
"ADHD","Alcobra Ltd.","5.76","$121.98M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adhd",
"ALDR","Alder BioPharmaceuticals, Inc.","35.09","$1.53B","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldr",
"ALDX","Aldeyra Therapeutics, Inc.","5.78","$56.14M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aldx",
"ALXN","Alexion Pharmaceuticals, Inc.","166.07","$37.56B","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alxn",
"ALXA","Alexza Pharmaceuticals, Inc.","1.2799","$24.89M","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alxa",
"ALCO","Alico, Inc.","40.9","$338.71M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/alco",
"ALGN","Align Technology, Inc.","56.91","$4.56B","2001","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/algn",
"ALIM","Alimera Sciences, Inc.","2.11","$93.71M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alim",
"ALKS","Alkermes plc","60.48","$9.04B","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alks",
"ALGT","Allegiant Travel Company","215.59","$3.66B","2006","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/algt",
"ALLB","Alliance Bancorp, Inc. of Pennsylvania","23.82","$95.97M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/allb",
"AFOP","Alliance Fiber Optic Products, Inc.","17.98","$322.12M","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/afop",
"AIQ","Alliance HealthCare Services, Inc.","9.99","$107.4M","2001","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/aiq",
"AHGP","Alliance Holdings GP, L.P.","31.57","$1.89B","2006","Energy","Coal Mining","http://www.nasdaq.com/symbol/ahgp",
"ARLP","Alliance Resource Partners, L.P.","21.86","$1.62B","1999","Energy","Coal Mining","http://www.nasdaq.com/symbol/arlp",
"AHPI","Allied Healthcare Products, Inc.","1.19","$9.55M","1992","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ahpi",
"AMOT","Allied Motion Technologies, Inc.","18.47","$171.6M","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/amot",
"ALQA","Alliqua BioMedical, Inc.","3.45","$95.46M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/alqa",
"ALLT","Allot Communications Ltd.","4.99","$166.48M","2006","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/allt",
"MDRX","Allscripts Healthcare Solutions, Inc.","12.51","$2.36B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/mdrx",
"AFAM","Almost Family Inc","39.14","$384.36M","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/afam",
"ALNY","Alnylam Pharmaceuticals, Inc.","83.02","$7.02B","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alny",
"AOSL","Alpha and Omega Semiconductor Limited","8.15","$186.81M","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/aosl",
"SMCP","AlphaMark Actively Managed Small Cap ETF","21.17","$22.23M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/smcp",
"ATEC","Alphatec Holdings, Inc.","0.3101","$31.04M","2006","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atec",
"ALTR","Altera Corporation","50.15","$15.17B","1988","Technology","Semiconductors","http://www.nasdaq.com/symbol/altr",
"ASPS","Altisource Portfolio Solutions S.A.","24.18","$453.05M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/asps",
"AIMC","Altra Industrial Motion Corp.","23.57","$620.12M","2006","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aimc",
"AMAG","AMAG Pharmaceuticals, Inc.","42.12","$1.45B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amag",
"AMRN","Amarin Corporation PLC","2.06","$279.64M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amrn",
"AMRK","A-Mark Precious Metals, Inc.","11.65","$81.24M","n/a","Basic Industries","Other Specialty Stores","http://www.nasdaq.com/symbol/amrk",
"AYA","Amaya Inc.","23.45","$3.12B","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/aya",
"AMZN","Amazon.com, Inc.","532.54","$249.07B","1997","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/amzn",
"AMBC","Ambac Financial Group, Inc.","14.43","$649.65M","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambc",
"AMBCW","Ambac Financial Group, Inc.","6.99","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ambcw",
"AMBA","Ambarella, Inc.","58.92","$1.87B","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/amba",
"EPAX","Ambassadors Group, Inc.","2.73","$46.79M","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/epax",
"AMCX","AMC Networks Inc.","74.64","$5.4B","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/amcx",
"DOX","Amdocs Limited","56.81","$8.73B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dox",
"AMDA","Amedica Corporation","0.317","$20.85M","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/amda",
"AMED","Amedisys Inc","36.53","$1.23B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amed",
"UHAL","Amerco","395.53","$7.76B","n/a","Consumer Services","Rental/Leasing Companies","http://www.nasdaq.com/symbol/uhal",
"ASBI","Ameriana Bancorp","22.8999","$69.39M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/asbi",
"ATAX","America First Multifamily Investors, L.P.","5.25","$316.33M","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atax",
"AMOV","America Movil, S.A.B. de C.V.","16.8205","$56.79B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/amov",
"AAL","American Airlines Group, Inc.","38.63","$25.95B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/aal",
"AGNC","American Capital Agency Corp.","19.11","$6.67B","2008","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agnc",
"AGNCB","American Capital Agency Corp.","24.28","$8.47B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agncb",
"AGNCP","American Capital Agency Corp.","25.58","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/agncp",
"MTGE","American Capital Mortgage Investment Corp.","14.93","$764.3M","2011","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mtge",
"MTGEP","American Capital Mortgage Investment Corp.","24.61","$49.22M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mtgep",
"ACSF","American Capital Senior Floating, Ltd.","11.16","$111.6M","2014","n/a","n/a","http://www.nasdaq.com/symbol/acsf",
"ACAS","American Capital, Ltd.","12.52","$3.41B","1997","n/a","n/a","http://www.nasdaq.com/symbol/acas",
"GNOW","American Caresource Holdings Inc","1.05","$7.08M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/gnow",
"AETI","American Electric Technologies, Inc.","2.6","$21.46M","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti",
"AMIC","American Independence Corp.","9.8","$79.18M","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/amic",
"AMNB","American National Bankshares, Inc.","23.43","$203.76M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amnb",
"ANAT","American National Insurance Company","96.05","$2.58B","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/anat",
"APEI","American Public Education, Inc.","21.86","$362.31M","2007","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apei",
"ARII","American Railcar Industries, Inc.","36.99","$789.82M","2006","Capital Goods","Railroads","http://www.nasdaq.com/symbol/arii",
"AMRB","American River Bankshares","9.5472","$72.27M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/amrb",
"ASEI","American Science and Engineering, Inc.","33.5","$239.37M","n/a","Health Care","Medical Electronics","http://www.nasdaq.com/symbol/asei",
"AMSWA","American Software, Inc.","9.47","$271.15M","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/amswa",
"AMSC","American Superconductor Corporation","4.31","$60.14M","1991","Consumer Durables","Metal Fabrications","http://www.nasdaq.com/symbol/amsc",
"AMWD","American Woodmark Corporation","64.43","$1.05B","1986","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/amwd",
"CRMT","America&#39;s Car-Mart, Inc.","33.64","$285.05M","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/crmt",
"ABCB","Ameris Bancorp","28.1","$904.68M","1994","Finance","Major Banks","http://www.nasdaq.com/symbol/abcb",
"AMSF","AMERISAFE, Inc.","49.26","$936.42M","2005","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/amsf",
"ASRV","AmeriServ Financial Inc.","3.19","$60.2M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","27.0599","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp",
"ATLO","Ames National Corporation","22.89","$213.13M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/atlo",
"AMGN","Amgen Inc.","142.47","$108.03B","1983","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/amgn",
"FOLD","Amicus Therapeutics, Inc.","6.3801","$756.8M","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fold",
"AMKR","Amkor Technology, Inc.","4.58","$1.09B","1998","Technology","Semiconductors","http://www.nasdaq.com/symbol/amkr",
"AMPH","Amphastar Pharmaceuticals, Inc.","11.69","$529.99M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amph",
"AMSG","Amsurg Corp.","78.33","$3.79B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amsg",
"AMSGP","Amsurg Corp.","145.57","$251.11M","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/amsgp",
"ASYS","Amtech Systems, Inc.","4.36","$57.34M","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asys",
"AFSI","AmTrust Financial Services, Inc.","61.98","$5.12B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afsi",
"AMRS","Amyris, Inc.","2.2","$346.53M","2010","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/amrs",
"ANAC","Anacor Pharmaceuticals, Inc.","128.12","$5.64B","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anac",
"ANAD","ANADIGICS, Inc.","0.2132","$18.81M","1995","Technology","Semiconductors","http://www.nasdaq.com/symbol/anad",
"ADI","Analog Devices, Inc.","55.69","$17.47B","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/adi",
"ALOG","Analogic Corporation","85.24","$1.06B","1972","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/alog",
"ANCB","Anchor Bancorp","21.99","$55.63M","2011","Finance","Banks","http://www.nasdaq.com/symbol/ancb",
"ABCW","Anchor BanCorp Wisconsin Inc.","41.48","$398.29M","2014","Finance","Banks","http://www.nasdaq.com/symbol/abcw",
"ANGI","Angie&#39;s List, Inc.","5.25","$307.21M","2011","Consumer Services","Advertising","http://www.nasdaq.com/symbol/angi",
"ANGO","AngioDynamics, Inc.","13.16","$474.67M","2004","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ango",
"ANIP","ANI Pharmaceuticals, Inc.","43.62","$499.98M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anip",
"ANIK","Anika Therapeutics Inc.","31.82","$465.59M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/anik",
"ANSS","ANSYS, Inc.","88.24","$7.95B","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/anss",
"ATRS","Antares Pharma, Inc.","1.65","$255.43M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrs",
"ANTH","Anthera Pharmaceuticals, Inc.","6.29","$249.74M","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anth",
"ABAC","Aoxin Tianli Group, Inc.","0.5","$16.59M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/abac",
"ATNY","API Technologies Corp.","2.16","$119.72M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/atny",
"APIC","Apigee Corporation","9.7","$284.79M","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/apic",
"APOG","Apogee Enterprises, Inc.","45.64","$1.33B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/apog",
"APOL","Apollo Education Group, Inc.","11.01","$1.19B","1994","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/apol",
"AINV","Apollo Investment Corporation","5.45","$1.29B","2004","n/a","n/a","http://www.nasdaq.com/symbol/ainv",
"APPF","AppFolio, Inc.","16.77","$562.23M","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/appf",
